raio,caso,planner,ok,comprimento,reta,desvio,giro_deg,raio_min,inversoes,curtos,pontos,ms,motivo
0.25,porta,theta,1,5.52,5.315,1.038,192.2,0.375,0,0,98,1.5,
0.25,porta,hibrido,1,5.563,5.315,1.047,143.5,0.492,0,0,71,8.7,
0.25,bloco,theta,1,4.886,3.5,1.396,153.4,0.386,0,0,88,2.4,
0.25,bloco,hibrido,1,4.901,3.517,1.393,217.5,0.447,0,0,59,85.7,
0.25,aperto,theta,1,7.501,3.5,2.143,270.9,0.277,0,0,144,3.1,
0.25,aperto,hibrido,1,7.88,3.5,2.251,465.1,0.321,0,0,99,46.0,
0.25,beco,theta,1,5.568,5.349,1.041,132.1,0.386,0,0,104,1.6,
0.25,beco,hibrido,1,5.735,5.349,1.072,216.9,0.25,0,0,70,42.7,
0.25,perto_de_lado,theta,1,0.6,0.6,1.0,0.0,inf,0,0,13,0.1,
0.25,perto_de_lado,hibrido,1,0.899,0.6,1.498,131.1,0.284,2,2,15,1.8,
0.25,lado_1m,theta,1,0.9,0.9,1.0,0.0,inf,0,0,19,0.0,
0.25,lado_1m,hibrido,1,1.186,0.9,1.317,143.8,0.284,2,2,19,2.7,
0.34,porta,theta,1,5.52,5.315,1.038,192.2,0.375,0,0,98,1.4,
0.34,porta,hibrido,1,5.835,5.315,1.098,235.0,0.626,2,1,75,8.6,
0.34,bloco,theta,1,4.886,3.5,1.396,153.4,0.386,0,0,88,2.2,
0.34,bloco,hibrido,1,5.222,3.5,1.492,244.7,0.499,3,3,63,212.4,
0.34,aperto,theta,1,7.501,3.5,2.143,270.9,0.277,0,0,144,2.7,
0.34,aperto,hibrido,1,7.642,3.5,2.184,327.9,0.34,0,0,97,21.6,
0.34,beco,theta,1,5.568,5.349,1.041,132.1,0.386,0,0,104,1.6,
0.34,beco,hibrido,1,5.739,5.349,1.073,211.9,0.34,0,0,68,47.0,
0.34,perto_de_lado,theta,1,0.6,0.6,1.0,0.0,inf,0,0,13,0.1,
0.34,perto_de_lado,hibrido,1,1.045,0.6,1.742,121.5,0.38,2,2,17,3.0,
0.34,lado_1m,theta,1,0.9,0.9,1.0,0.0,inf,0,0,19,0.1,
0.34,lado_1m,hibrido,1,1.404,0.9,1.56,188.2,0.302,2,2,21,3.5,
0.37,porta,theta,1,5.52,5.315,1.038,192.2,0.375,0,0,98,1.4,
0.37,porta,hibrido,1,5.903,5.315,1.111,247.0,0.706,2,1,72,9.1,
0.37,bloco,theta,1,4.886,3.5,1.396,153.4,0.386,0,0,88,2.3,
0.37,bloco,hibrido,1,5.405,3.5,1.544,304.5,0.391,3,3,59,386.5,
0.37,aperto,theta,1,7.501,3.5,2.143,270.9,0.277,0,0,144,2.8,
0.37,aperto,hibrido,1,7.826,3.5,2.236,402.2,0.37,0,0,93,22.3,
0.37,beco,theta,1,5.568,5.349,1.041,132.1,0.386,0,0,104,1.6,
0.37,beco,hibrido,1,5.77,5.349,1.079,214.7,0.386,0,0,64,62.9,
0.37,perto_de_lado,theta,1,0.6,0.6,1.0,0.0,inf,0,0,13,0.1,
0.37,perto_de_lado,hibrido,1,1.13,0.6,1.883,130.5,0.381,2,2,18,7.7,
0.37,lado_1m,theta,1,0.9,0.9,1.0,0.0,inf,0,0,19,0.1,
0.37,lado_1m,hibrido,1,1.367,0.9,1.519,168.3,0.369,2,2,22,3.6,
0.46,porta,theta,1,5.52,5.315,1.038,192.2,0.375,0,0,98,2.2,
0.46,porta,hibrido,1,5.617,5.315,1.057,158.9,0.469,0,0,75,9.6,
0.46,bloco,theta,1,4.886,3.5,1.396,153.4,0.386,0,0,88,2.3,
0.46,bloco,hibrido,1,5.214,3.5,1.49,236.0,0.541,4,4,69,835.9,
0.46,aperto,theta,1,7.501,3.5,2.143,270.9,0.277,0,0,144,9.1,
0.46,aperto,hibrido,1,8.125,3.5,2.321,320.3,0.46,2,1,107,39.4,
0.46,beco,theta,1,5.568,5.349,1.041,132.1,0.386,0,0,104,1.5,
0.46,beco,hibrido,1,5.998,5.349,1.121,279.3,0.535,2,2,78,79.4,
0.46,perto_de_lado,theta,1,0.6,0.6,1.0,0.0,inf,0,0,13,0.1,
0.46,perto_de_lado,hibrido,1,1.274,0.6,2.123,122.9,0.452,2,2,20,4.4,
0.46,lado_1m,theta,1,0.9,0.9,1.0,0.0,inf,0,0,19,0.2,
0.46,lado_1m,hibrido,1,1.589,0.9,1.766,169.0,0.426,2,2,24,11.8,
